CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
16,C,2018,0.512,1
16,C,2019,0.366666667,1
17,C,2008,0.985,1
17,C,2009,1,1
17,C,2010,1,1
17,C,2011,1,1
17,C,2012,1,1
17,C,2013,1,1
17,C,2014,1,1
17,C,2015,0.979666667,1
17,C,2016,0.988,1
17,C,2017,1,1
17,C,2018,1,1
17,C,2019,1,1
0,C,2008,0.359,9
0,C,2009,0.379,9
0,C,2010,0.48,9
0,C,2011,0.448,9
0,C,2012,0.378,9
0,C,2013,0.406,9
0,C,2014,0.4,9
0,C,2015,0.369,9
0,C,2016,0.358,9
0,C,2017,0.316,9
0,C,2018,0.427,9
0,C,2019,0.405,9
1,C,2008,0.427,9
1,C,2009,0.397,9
1,C,2010,0.58,9
1,C,2011,0.6,9
1,C,2012,0.48,9
1,C,2013,0.465,9
1,C,2014,0.46,9
1,C,2015,0.351,9
1,C,2016,0.333,9
1,C,2017,0.308,9
1,C,2018,0.385,9
1,C,2019,0.351,9
2,C,2008,0,9
2,C,2009,0,9
2,C,2010,0,9
2,C,2011,0,9
2,C,2012,0.031,9
2,C,2013,0.079,9
2,C,2014,0.03,9
2,C,2015,0,9
2,C,2016,0,9
2,C,2017,0,9
2,C,2018,0,9
2,C,2019,0,9
3,C,2008,0.094,9
3,C,2009,0.198,9
3,C,2010,0.31,9
3,C,2011,0.229,9
3,C,2012,0.255,9
3,C,2013,0.228,9
3,C,2014,0.23,9
3,C,2015,0.261,9
3,C,2016,0.276,9
3,C,2017,0.165,9
3,C,2018,0.239,9
3,C,2019,0.126,9
4,C,2008,0.359,9
4,C,2009,0.466,9
4,C,2010,0.65,9
4,C,2011,0.676,9
4,C,2012,0.673,9
4,C,2013,0.624,9
4,C,2014,0.56,9
4,C,2015,0.514,9
4,C,2016,0.52,9
4,C,2017,0.429,9
4,C,2018,0.65,9
4,C,2019,0.595,9
5,C,2008,0.094,9
5,C,2009,0.172,9
5,C,2010,0.27,9
5,C,2011,0.171,9
5,C,2012,0,9
5,C,2013,0.129,9
5,C,2014,0.18,9
5,C,2015,0.144,9
5,C,2016,0.114,9
5,C,2017,0.135,9
5,C,2018,0.308,9
5,C,2019,0.243,9
6,C,2008,0.162,9
6,C,2009,0.198,9
6,C,2010,0.23,9
6,C,2011,0.229,9
6,C,2012,0.163,9
6,C,2013,0.168,9
6,C,2014,0.25,9
6,C,2015,0.27,9
6,C,2016,0.26,9
6,C,2017,0.15,9
6,C,2018,0.274,9
6,C,2019,0.324,9
7,C,2008,0.419,9
7,C,2009,0.397,9
7,C,2010,0.49,9
7,C,2011,0.457,9
7,C,2012,0.347,9
7,C,2013,0.267,9
7,C,2014,0.12,9
7,C,2015,0.189,9
7,C,2016,0.228,9
7,C,2017,0.218,9
7,C,2018,0.316,9
7,C,2019,0.261,9
8,C,2017,0.278,9
8,C,2018,0.436,9
8,C,2019,0.495,9
9,C,2008,0.427,9
9,C,2009,0.422,9
9,C,2010,0.54,9
9,C,2011,0.467,9
9,C,2012,0.398,9
9,C,2013,0.446,9
9,C,2014,0.5,9
9,C,2015,0.495,9
9,C,2016,0.463,9
9,C,2017,0.421,9
9,C,2018,0.538,9
9,C,2019,0.495,9
10,C,2008,0.094,9
10,C,2009,0.19,9
10,C,2010,0.12,9
10,C,2011,0.086,9
10,C,2012,0.041,9
10,C,2013,0,9
10,C,2014,0,9
10,C,2015,0.099,9
