CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
3,I,2014,0.474,7
3,I,2015,0.364,7
3,I,2016,0.42,7
3,I,2017,0.383,7
3,I,2018,0.379,7
3,I,2019,0.332,7
4,I,2009,0,7
4,I,2010,0.034,7
4,I,2011,0.062,7
4,I,2012,0.276,7
4,I,2013,0.252,7
4,I,2014,0.365,7
4,I,2015,0.407,7
4,I,2016,0.415,7
4,I,2017,0.538,7
4,I,2018,0.414,7
4,I,2019,0.466,7
5,I,2009,0.464,7
5,I,2010,0.424,7
5,I,2011,0.337,7
5,I,2012,0.293,7
5,I,2013,0.313,7
5,I,2014,0.562,7
5,I,2015,0.605,7
5,I,2016,0.569,7
5,I,2017,0.635,7
5,I,2018,0.529,7
5,I,2019,0.491,7
6,I,2009,0.391,7
6,I,2010,0.345,7
6,I,2011,0.207,7
6,I,2012,0.376,7
6,I,2013,0.365,7
6,I,2014,0.476,7
6,I,2015,0.55,7
6,I,2016,0.527,7
6,I,2017,0.48,7
6,I,2018,0.503,7
6,I,2019,0.494,7
7,I,2009,0.309,7
7,I,2010,0.266,7
7,I,2011,0.21,7
7,I,2012,0.255,7
7,I,2013,0.231,7
7,I,2014,0.359,7
7,I,2015,0.338,7
7,I,2016,0.413,7
7,I,2017,0.389,7
7,I,2018,0.356,7
7,I,2019,0.329,7
8,I,2009,1,7
8,I,2010,1,7
8,I,2011,1,7
8,I,2012,1,7
8,I,2013,1,7
8,I,2014,1,7
8,I,2015,1,7
8,I,2016,1,7
8,I,2017,1,7
8,I,2018,1,7
8,I,2019,1,7
9,I,2009,0.53,7
9,I,2010,0.528,7
9,I,2011,0.471,7
9,I,2012,0.586,7
9,I,2013,0.523,7
9,I,2014,0.682,7
9,I,2015,0.685,7
9,I,2016,0.742,7
9,I,2017,0.737,7
9,I,2018,0.753,7
9,I,2019,0.765,7
10,I,2009,0.316,7
10,I,2010,0.376,7
10,I,2011,0.391,7
10,I,2012,0.434,7
10,I,2013,0.389,7
10,I,2014,0.482,7
10,I,2015,0.424,7
10,I,2016,0.47,7
10,I,2017,0.474,7
10,I,2018,0.434,7
10,I,2019,0.491,7
11,I,2009,0.23,7
11,I,2010,0.29,7
11,I,2011,0.228,7
11,I,2012,0.331,7
11,I,2013,0.264,7
11,I,2014,0.385,7
11,I,2015,0.367,7
11,I,2016,0.407,7
11,I,2017,0.433,7
11,I,2018,0.443,7
11,I,2019,0.421,7
12,I,2009,0.513,7
12,I,2010,0.507,7
12,I,2011,0.348,7
12,I,2012,0.424,7
12,I,2013,0.377,7
12,I,2014,0.365,7
12,I,2015,0.307,7
12,I,2016,0.366,7
12,I,2017,0.433,7
12,I,2018,0.454,7
12,I,2019,0.421,7
13,I,2009,0.276,7
13,I,2010,0.334,7
13,I,2011,0.167,7
13,I,2012,0.31,7
13,I,2013,0.258,7
13,I,2014,0.424,7
13,I,2015,0.401,7
13,I,2016,0.42,7
13,I,2017,0.436,7
13,I,2018,0.388,7
13,I,2019,0.338,7
14,I,2009,0.197,7
14,I,2010,0.355,7
14,I,2011,0.391,7
14,I,2012,0.497,7
14,I,2013,0.444,7
14,I,2014,0.409,7
14,I,2015,0.341,7
14,I,2016,0.397,7
14,I,2017,0.368,7
14,I,2018,0.259,7
14,I,2019,0.311,7
15,I,2009,0.013,7
15,I,2010,0,7
15,I,2011,0.033,7
15,I,2012,0.145,7
15,I,2013,0.109,7
15,I,2014,0.241,7
15,I,2015,0.189,7
15,I,2016,0.274,7
15,I,2017,0.292,7
15,I,2018,0.244,7
15,I,2019,0.131,7
16,I,2009,0.118,7
16,I,2010,0.086,7
16,I,2011,0,7
16,I,2012,0,7
16,I,2013,0,7
16,I,2014,0.121,7
16,I,2015,0.08,7
16,I,2016,0.094,7
16,I,2017,0,7
16,I,2018,0,7
16,I,2019,0,7
17,I,2009,0.27,7
17,I,2010,0.286,7
17,I,2011,0.283,7
17,I,2012,0.379,7
17,I,2013,0.283,7
17,I,2014,0.471,7
17,I,2015,0.461,7
17,I,2016,0.546,7
17,I,2017,0.544,7
17,I,2018,0.529,7
17,I,2019,0.534,7
18,I,2009,0.352,7
18,I,2010,0.379,7
18,I,2011,0.087,7
18,I,2012,0.079,7
18,I,2013,0.024,7
18,I,2014,0,7
18,I,2015,0,7
18,I,2016,0,7
18,I,2017,0.064,7
18,I,2018,0.049,7
18,I,2019,0.034,7
0,I,2009,0.924,19
0,I,2010,0.929,19
0,I,2011,0.936,19
0,I,2012,0.923,19
0,I,2013,0.932,19
0,I,2014,0.954,19
0,I,2015,0.964,19
0,I,2016,0.967,19
0,I,2017,0.974,19
0,I,2018,0.974,19
0,I,2019,0.977,19
1,I,2009,0.621,19
1,I,2010,0.747,19
1,I,2011,0.796,19
1,I,2012,0.719,19
1,I,2013,0.745,19
1,I,2014,0.847,19
1,I,2015,0.888,19
1,I,2016,0.913,19
1,I,2017,0.94,19
1,I,2018,0.951,19
1,I,2019,0.959,19
2,I,2009,0,19
2,I,2010,0,19
2,I,2011,0,19
2,I,2012,0,19
2,I,2013,0,19
2,I,2014,0,19
2,I,2015,0,19
2,I,2016,0,19
2,I,2017,0,19
2,I,2018,0,19
2,I,2019,0,19
3,I,2009,0.882,19
3,I,2010,0.886,19
3,I,2011,0.901,19
3,I,2012,0.887,19
3,I,2013,0.908,19
3,I,2014,0.936,19
3,I,2015,0.952,19
3,I,2016,0.958,19
3,I,2017,0.966,19
3,I,2018,0.968,19
3,I,2019,0.971,19
4,I,2009,0.983,19
